genes,study,relevance
KCNK1,IPAdiabetes,IPA
KCNK3,IPAdiabetes,IPA
KCNMA1,IPAdiabetes,IPA
KCNN3,IPAdiabetes,IPA
KCNQ1,IPAdiabetes,IPA
KCNQ1OT1,IPAdiabetes,IPA
KCP,IPAdiabetes,IPA
KCTD16,IPAdiabetes,IPA
KDR,IPAdiabetes,IPA
ketamine,IPAdiabetes,IPA
ketone,IPAdiabetes,IPA
ketorolac,IPAdiabetes,IPA
ketosteril,IPAdiabetes,IPA
KHDRBS1,IPAdiabetes,IPA
KIAA1671,IPAdiabetes,IPA
KIF11,IPAdiabetes,IPA
KIF20B,IPAdiabetes,IPA
KIR,IPAdiabetes,IPA
KIRREL3,IPAdiabetes,IPA
KIT,IPAdiabetes,IPA
KL,IPAdiabetes,IPA
KLC1,IPAdiabetes,IPA
KLF3,IPAdiabetes,IPA
KLF4,IPAdiabetes,IPA
KLF5,IPAdiabetes,IPA
KLF10,IPAdiabetes,IPA
KLF11,IPAdiabetes,IPA
KLF14,IPAdiabetes,IPA
KLK3,IPAdiabetes,IPA
Klk1b7-ps,IPAdiabetes,IPA
KLRB1,IPAdiabetes,IPA
Klrk1,IPAdiabetes,IPA
KMO,IPAdiabetes,IPA
KNG1,IPAdiabetes,IPA
KRAS,IPAdiabetes,IPA
KRP-297,IPAdiabetes,IPA
KRT8,IPAdiabetes,IPA
KRT20,IPAdiabetes,IPA
KYNU,IPAdiabetes,IPA
L-arginine,IPAdiabetes,IPA
L-aspartic_acid,IPAdiabetes,IPA
L-glutamic_acid,IPAdiabetes,IPA
L-tryptophan,IPAdiabetes,IPA
L1CAM,IPAdiabetes,IPA
lacosamide,IPAdiabetes,IPA
lactated_ringer_solution,IPAdiabetes,IPA
lactic_acid,IPAdiabetes,IPA
lactosylceramide,IPAdiabetes,IPA
ladostigil,IPAdiabetes,IPA
LAMTOR5,IPAdiabetes,IPA
lanabecestat,IPAdiabetes,IPA
lansoprazole,IPAdiabetes,IPA
lapaquistat,IPAdiabetes,IPA
laropiprant,IPAdiabetes,IPA
LARP4,IPAdiabetes,IPA
LARS2,IPAdiabetes,IPA
LAT,IPAdiabetes,IPA
latanoprost,IPAdiabetes,IPA
latrepirdine,IPAdiabetes,IPA
LBX2,IPAdiabetes,IPA
LCK,IPAdiabetes,IPA
LCN2,IPAdiabetes,IPA
LCP1,IPAdiabetes,IPA
LDB2,IPAdiabetes,IPA
Ldc1,IPAdiabetes,IPA
Ldh_(complex),IPAdiabetes,IPA
LDL-cholesterol,IPAdiabetes,IPA
LDLR,IPAdiabetes,IPA
LDLRAD3,IPAdiabetes,IPA
LDLRAP1,IPAdiabetes,IPA
lecozotan,IPAdiabetes,IPA
LEF1,IPAdiabetes,IPA
LEP,IPAdiabetes,IPA
LEPR,IPAdiabetes,IPA
let-7,IPAdiabetes,IPA
let-7a-5p_(and_other_miRNAs_w/seed_GAGGUAG),IPAdiabetes,IPA
levodopa,IPAdiabetes,IPA
LGALS1,IPAdiabetes,IPA
LGALS3,IPAdiabetes,IPA
LGALS12,IPAdiabetes,IPA
LGALS9B,IPAdiabetes,IPA
LGMN,IPAdiabetes,IPA
Lh,IPAdiabetes,IPA
lidocaine,IPAdiabetes,IPA
LILRB1,IPAdiabetes,IPA
LILRB3,IPAdiabetes,IPA
LILRB4,IPAdiabetes,IPA
LIMS1,IPAdiabetes,IPA
LIN9,IPAdiabetes,IPA
linagliptin,IPAdiabetes,IPA
linagliptin/metformin,IPAdiabetes,IPA
LINC00271,IPAdiabetes,IPA
LINC01104,IPAdiabetes,IPA
LINC01370,IPAdiabetes,IPA
LINC01619,IPAdiabetes,IPA
LINGO1,IPAdiabetes,IPA
LINGO4,IPAdiabetes,IPA
LIPA,IPAdiabetes,IPA
LIPC,IPAdiabetes,IPA
lipid,IPAdiabetes,IPA
lipopolysaccharide,IPAdiabetes,IPA
liraglutide,IPAdiabetes,IPA
lisdexamfetamine,IPAdiabetes,IPA
lisinopril,IPAdiabetes,IPA
lixisenatide,IPAdiabetes,IPA
LMNA,IPAdiabetes,IPA
LMNB2,IPAdiabetes,IPA
lobeglitazone,IPAdiabetes,IPA
LOC105372576,IPAdiabetes,IPA
lorcaserin,IPAdiabetes,IPA
losartan_potassium,IPAdiabetes,IPA
low_molecular_weight_heparin,IPAdiabetes,IPA
LPA,IPAdiabetes,IPA
LPAR1,IPAdiabetes,IPA
LPAR3,IPAdiabetes,IPA
LPL,IPAdiabetes,IPA
LRAT,IPAdiabetes,IPA
LRIG1,IPAdiabetes,IPA
LRP1,IPAdiabetes,IPA
LRP3,IPAdiabetes,IPA
LRP4,IPAdiabetes,IPA
LRP6,IPAdiabetes,IPA
LRP8,IPAdiabetes,IPA
LRP10,IPAdiabetes,IPA
LRP,IPAdiabetes,IPA
LRP1B,IPAdiabetes,IPA
LRPAP1,IPAdiabetes,IPA
LRRC32,IPAdiabetes,IPA
LRRC8A,IPAdiabetes,IPA
LSM2,IPAdiabetes,IPA
LSS,IPAdiabetes,IPA
LST1,IPAdiabetes,IPA
Lst1,IPAdiabetes,IPA
LTA,IPAdiabetes,IPA
LTBP1,IPAdiabetes,IPA
LTBR,IPAdiabetes,IPA
LTC4S,IPAdiabetes,IPA
Lu_AE58054,IPAdiabetes,IPA
lubiprostone,IPAdiabetes,IPA
LUC7L2,IPAdiabetes,IPA
LY75,IPAdiabetes,IPA
LY86,IPAdiabetes,IPA
LY3298176,IPAdiabetes,IPA
Ly6a_(includes_others),IPAdiabetes,IPA
LY6D,IPAdiabetes,IPA
LY6E,IPAdiabetes,IPA
LY6G5B,IPAdiabetes,IPA
LY6G5C,IPAdiabetes,IPA
LY6G6C,IPAdiabetes,IPA
LY6G6D,IPAdiabetes,IPA
LYPLAL1,IPAdiabetes,IPA
lypressin,IPAdiabetes,IPA
LYRM4,IPAdiabetes,IPA
lysobisphosphatidic_acid,IPAdiabetes,IPA
LYZ,IPAdiabetes,IPA
MACROD1,IPAdiabetes,IPA
MAFA,IPAdiabetes,IPA
MAG,IPAdiabetes,IPA
MAGI2,IPAdiabetes,IPA
MAGI3,IPAdiabetes,IPA
malondialdehyde,IPAdiabetes,IPA
MAO,IPAdiabetes,IPA
MAOA,IPAdiabetes,IPA
MAOB,IPAdiabetes,IPA
MAP2,IPAdiabetes,IPA
MAP3K3,IPAdiabetes,IPA
MAP3K5,IPAdiabetes,IPA
MAPK8,IPAdiabetes,IPA
MAPK9,IPAdiabetes,IPA
MAPK10,IPAdiabetes,IPA
MAPK14,IPAdiabetes,IPA
MAPK8IP1,IPAdiabetes,IPA
MAPKAPK5,IPAdiabetes,IPA
MAPKAPK5-AS1,IPAdiabetes,IPA
MAPT,IPAdiabetes,IPA
MARCHF6,IPAdiabetes,IPA
MARCHF8,IPAdiabetes,IPA
MARCHF10,IPAdiabetes,IPA
MAS1,IPAdiabetes,IPA
masitinib,IPAdiabetes,IPA
MASP2,IPAdiabetes,IPA
MC3R,IPAdiabetes,IPA
MC4R,IPAdiabetes,IPA
MCAM,IPAdiabetes,IPA
MCCD1,IPAdiabetes,IPA
MCF2L2,IPAdiabetes,IPA
MCHR1,IPAdiabetes,IPA
MCU,IPAdiabetes,IPA
MCUB,IPAdiabetes,IPA
MDC1,IPAdiabetes,IPA
ME1,IPAdiabetes,IPA
mecobalamin,IPAdiabetes,IPA
MED14,IPAdiabetes,IPA
MED27,IPAdiabetes,IPA
medroxyprogesterone_acetate,IPAdiabetes,IPA
MEF2C,IPAdiabetes,IPA
MEGF10,IPAdiabetes,IPA
MEIS2,IPAdiabetes,IPA
melatonin,IPAdiabetes,IPA
MELTF,IPAdiabetes,IPA
memantine,IPAdiabetes,IPA
MEN1,IPAdiabetes,IPA
menatetrenone,IPAdiabetes,IPA
MEOX2,IPAdiabetes,IPA
MERTK,IPAdiabetes,IPA
metadoxine,IPAdiabetes,IPA
metformin,IPAdiabetes,IPA
metformin/pioglitazone,IPAdiabetes,IPA
metformin/pioglitazone/sulfonylurea,IPAdiabetes,IPA
metformin/repaglinide,IPAdiabetes,IPA
metformin/saxagliptin,IPAdiabetes,IPA
metformin/sitagliptin,IPAdiabetes,IPA
metformin/sitagliptin/sulfonylurea,IPAdiabetes,IPA
metformin/sitagliptin/thiazolidinedione,IPAdiabetes,IPA
metformin/sulfonylurea/vildagliptin,IPAdiabetes,IPA
metformin/vildagliptin,IPAdiabetes,IPA
methylphenidate,IPAdiabetes,IPA
methylprednisolone_acetate,IPAdiabetes,IPA
metronidazole,IPAdiabetes,IPA
mexiletine,IPAdiabetes,IPA
MFGE8,IPAdiabetes,IPA
MFN1,IPAdiabetes,IPA
MFN2,IPAdiabetes,IPA
MFSD2A,IPAdiabetes,IPA
MGAM,IPAdiabetes,IPA
MGAT5,IPAdiabetes,IPA
MGAT4A,IPAdiabetes,IPA
MGMT,IPAdiabetes,IPA
MGP,IPAdiabetes,IPA
MGST1,IPAdiabetes,IPA
MHC_CLASS_I_(family),IPAdiabetes,IPA
MHC_Class_II_(complex),IPAdiabetes,IPA
MIA2,IPAdiabetes,IPA
Mia2,IPAdiabetes,IPA
MIAT,IPAdiabetes,IPA
Miat,IPAdiabetes,IPA
MICA,IPAdiabetes,IPA
MICB,IPAdiabetes,IPA
MICD,IPAdiabetes,IPA
MICOS10-NBL1/NBL1,IPAdiabetes,IPA
MIF,IPAdiabetes,IPA
miglitol,IPAdiabetes,IPA
MIPOL1,IPAdiabetes,IPA
mir-1,IPAdiabetes,IPA
mir-7,IPAdiabetes,IPA
mir-8,IPAdiabetes,IPA
mir-9,IPAdiabetes,IPA
mir-10,IPAdiabetes,IPA
mir-15,IPAdiabetes,IPA
mir-17,IPAdiabetes,IPA
mir-19,IPAdiabetes,IPA
mir-21,IPAdiabetes,IPA
mir-22,IPAdiabetes,IPA
mir-23,IPAdiabetes,IPA
mir-24,IPAdiabetes,IPA
mir-25,IPAdiabetes,IPA
mir-26,IPAdiabetes,IPA
mir-27,IPAdiabetes,IPA
mir-28,IPAdiabetes,IPA
mir-29,IPAdiabetes,IPA
mir-31,IPAdiabetes,IPA
mir-33,IPAdiabetes,IPA
mir-34,IPAdiabetes,IPA
mir-101,IPAdiabetes,IPA
mir-103,IPAdiabetes,IPA
mir-122,IPAdiabetes,IPA
mir-124,IPAdiabetes,IPA
mir-126,IPAdiabetes,IPA
mir-127,IPAdiabetes,IPA
mir-128,IPAdiabetes,IPA
mir-129,IPAdiabetes,IPA
mir-130,IPAdiabetes,IPA
mir-132,IPAdiabetes,IPA
mir-133,IPAdiabetes,IPA
mir-135,IPAdiabetes,IPA
mir-137,IPAdiabetes,IPA
mir-142,IPAdiabetes,IPA
mir-143,IPAdiabetes,IPA
mir-144,IPAdiabetes,IPA
mir-145,IPAdiabetes,IPA
mir-146,IPAdiabetes,IPA
mir-148,IPAdiabetes,IPA
mir-150,IPAdiabetes,IPA
mir-154,IPAdiabetes,IPA
mir-155,IPAdiabetes,IPA
mir-181,IPAdiabetes,IPA
mir-183,IPAdiabetes,IPA
mir-184,IPAdiabetes,IPA
mir-185,IPAdiabetes,IPA
mir-188,IPAdiabetes,IPA
mir-190,IPAdiabetes,IPA
mir-192,IPAdiabetes,IPA
mir-194,IPAdiabetes,IPA
mir-197,IPAdiabetes,IPA
mir-199,IPAdiabetes,IPA
mir-204,IPAdiabetes,IPA
mir-205,IPAdiabetes,IPA
mir-207,IPAdiabetes,IPA
mir-210,IPAdiabetes,IPA
mir-214,IPAdiabetes,IPA
mir-216,IPAdiabetes,IPA
mir-217,IPAdiabetes,IPA
mir-221,IPAdiabetes,IPA
mir-223,IPAdiabetes,IPA
mir-290,IPAdiabetes,IPA
mir-298,IPAdiabetes,IPA
mir-299,IPAdiabetes,IPA
mir-320,IPAdiabetes,IPA
mir-322,IPAdiabetes,IPA
mir-325,IPAdiabetes,IPA
mir-326,IPAdiabetes,IPA
mir-327,IPAdiabetes,IPA
mir-328,IPAdiabetes,IPA
mir-329,IPAdiabetes,IPA
mir-330,IPAdiabetes,IPA
mir-335,IPAdiabetes,IPA
mir-342,IPAdiabetes,IPA
mir-343,IPAdiabetes,IPA
mir-363,IPAdiabetes,IPA
mir-370,IPAdiabetes,IPA
mir-375,IPAdiabetes,IPA
mir-378,IPAdiabetes,IPA
mir-379,IPAdiabetes,IPA
mir-384,IPAdiabetes,IPA
mir-422,IPAdiabetes,IPA
mir-423,IPAdiabetes,IPA
mir-425,IPAdiabetes,IPA
mir-434,IPAdiabetes,IPA
mir-448,IPAdiabetes,IPA
mir-450,IPAdiabetes,IPA
mir-451,IPAdiabetes,IPA
mir-467,IPAdiabetes,IPA
mir-503,IPAdiabetes,IPA
mir-506,IPAdiabetes,IPA
mir-612,IPAdiabetes,IPA
mir-615,IPAdiabetes,IPA
mir-629,IPAdiabetes,IPA
mir-637,IPAdiabetes,IPA
mir-657,IPAdiabetes,IPA
mir-661,IPAdiabetes,IPA
mir-664,IPAdiabetes,IPA
mir-743,IPAdiabetes,IPA
miR-1-3p_(and_other_miRNAs_w/seed_GGAAUGU),IPAdiabetes,IPA
miR-100-5p_(and_other_miRNAs_w/seed_ACCCGUA),IPAdiabetes,IPA
miR-101-3p_(and_other_miRNAs_w/seed_ACAGUAC),IPAdiabetes,IPA
miR-103-3p_(and_other_miRNAs_w/seed_GCAGCAU),IPAdiabetes,IPA
miR-10b-5p_(miRNAs_w/seed_CCUGUAG),IPAdiabetes,IPA
miR-122-5p_(miRNAs_w/seed_GGAGUGU),IPAdiabetes,IPA
miR-124-3p_(and_other_miRNAs_w/seed_AAGGCAC),IPAdiabetes,IPA
miR-125b-5p_(and_other_miRNAs_w/seed_CCCUGAG),IPAdiabetes,IPA
miR-126a-3p_(and_other_miRNAs_w/seed_CGUACCG),IPAdiabetes,IPA
miR-126a-5p_(and_other_miRNAs_w/seed_AUUAUUA),IPAdiabetes,IPA
miR-127-3p_(miRNAs_w/seed_CGGAUCC),IPAdiabetes,IPA
miR-128-3p_(and_other_miRNAs_w/seed_CACAGUG),IPAdiabetes,IPA
miR-1285-3p_(and_other_miRNAs_w/seed_CUGGGCA),IPAdiabetes,IPA
miR-129-1-3p_(and_other_miRNAs_w/seed_AGCCCUU),IPAdiabetes,IPA
miR-129-5p_(and_other_miRNAs_w/seed_UUUUUGC),IPAdiabetes,IPA
miR-130a-3p_(and_other_miRNAs_w/seed_AGUGCAA),IPAdiabetes,IPA
miR-132-3p_(and_other_miRNAs_w/seed_AACAGUC),IPAdiabetes,IPA
miR-133a-3p_(and_other_miRNAs_w/seed_UUGGUCC),IPAdiabetes,IPA
miR-135a-5p_(and_other_miRNAs_w/seed_AUGGCUU),IPAdiabetes,IPA
miR-141-3p_(and_other_miRNAs_w/seed_AACACUG),IPAdiabetes,IPA
miR-142-5p_(and_other_miRNAs_w/seed_AUAAAGU),IPAdiabetes,IPA
miR-143-3p_(and_other_miRNAs_w/seed_GAGAUGA),IPAdiabetes,IPA
miR-145-5p_(and_other_miRNAs_w/seed_UCCAGUU),IPAdiabetes,IPA
miR-146a-5p_(and_other_miRNAs_w/seed_GAGAACU),IPAdiabetes,IPA
miR-148a-3p_(and_other_miRNAs_w/seed_CAGUGCA),IPAdiabetes,IPA
miR-150-5p_(and_other_miRNAs_w/seed_CUCCCAA),IPAdiabetes,IPA
miR-16-5p_(and_other_miRNAs_w/seed_AGCAGCA),IPAdiabetes,IPA
miR-17-3p_(and_other_miRNAs_w/seed_CUGCAGU),IPAdiabetes,IPA
miR-17-5p_(and_other_miRNAs_w/seed_AAAGUGC),IPAdiabetes,IPA
miR-181a-5p_(and_other_miRNAs_w/seed_ACAUUCA),IPAdiabetes,IPA
miR-183-5p_(miRNAs_w/seed_AUGGCAC),IPAdiabetes,IPA
miR-184_(and_other_miRNAs_w/seed_GGACGGA),IPAdiabetes,IPA
miR-185-5p_(and_other_miRNAs_w/seed_GGAGAGA),IPAdiabetes,IPA
miR-188-3p_(miRNAs_w/seed_UCCCACA),IPAdiabetes,IPA
miR-190a-5p_(and_other_miRNAs_w/seed_GAUAUGU),IPAdiabetes,IPA
miR-194-5p_(miRNAs_w/seed_GUAACAG),IPAdiabetes,IPA
miR-197-3p_(and_other_miRNAs_w/seed_UCACCAC),IPAdiabetes,IPA
miR-19b-3p_(and_other_miRNAs_w/seed_GUGCAAA),IPAdiabetes,IPA
miR-200b-3p_(and_other_miRNAs_w/seed_AAUACUG),IPAdiabetes,IPA
miR-201-5p_(miRNAs_w/seed_ACUCAGU),IPAdiabetes,IPA
miR-204-5p_(and_other_miRNAs_w/seed_UCCCUUU),IPAdiabetes,IPA
miR-205-5p_(and_other_miRNAs_w/seed_CCUUCAU),IPAdiabetes,IPA
miR-207_(miRNAs_w/seed_CUUCUCC),IPAdiabetes,IPA
miR-21-5p_(and_other_miRNAs_w/seed_AGCUUAU),IPAdiabetes,IPA
miR-210-3p_(miRNAs_w/seed_UGUGCGU),IPAdiabetes,IPA
miR-214-3p_(and_other_miRNAs_w/seed_CAGCAGG),IPAdiabetes,IPA
miR-22-3p_(miRNAs_w/seed_AGCUGCC),IPAdiabetes,IPA
miR-221-3p_(and_other_miRNAs_w/seed_GCUACAU),IPAdiabetes,IPA
miR-223-3p_(miRNAs_w/seed_GUCAGUU),IPAdiabetes,IPA
miR-23a-3p_(and_other_miRNAs_w/seed_UCACAUU),IPAdiabetes,IPA
miR-24-3p_(and_other_miRNAs_w/seed_GGCUCAG),IPAdiabetes,IPA
miR-26a-5p_(and_other_miRNAs_w/seed_UCAAGUA),IPAdiabetes,IPA
miR-27a-3p_(and_other_miRNAs_w/seed_UCACAGU),IPAdiabetes,IPA
miR-28-3p_(and_other_miRNAs_w/seed_ACUAGAU),IPAdiabetes,IPA
miR-291a-5p_(and_other_miRNAs_w/seed_AUCAAAG),IPAdiabetes,IPA
miR-298-5p_(and_other_miRNAs_w/seed_GCAGAGG),IPAdiabetes,IPA
miR-299a-5p_(and_other_miRNAs_w/seed_GGUUUAC),IPAdiabetes,IPA
miR-29b-3p_(and_other_miRNAs_w/seed_AGCACCA),IPAdiabetes,IPA
mir-30_(includes_others),IPAdiabetes,IPA
miR-30c-5p_(and_other_miRNAs_w/seed_GUAAACA),IPAdiabetes,IPA
miR-31-5p_(and_other_miRNAs_w/seed_GGCAAGA),IPAdiabetes,IPA
miR-320b_(and_other_miRNAs_w/seed_AAAGCUG),IPAdiabetes,IPA
miR-325-5p_(and_other_miRNAs_w/seed_CUAGUAG),IPAdiabetes,IPA
miR-327_(miRNAs_w/seed_CUUGAGG),IPAdiabetes,IPA
miR-328-3p_(and_other_miRNAs_w/seed_UGGCCCU),IPAdiabetes,IPA
miR-329-3p_(and_other_miRNAs_w/seed_ACACACC),IPAdiabetes,IPA
miR-33-5p_(and_other_miRNAs_w/seed_UGCAUUG),IPAdiabetes,IPA
miR-330-5p_(and_other_miRNAs_w/seed_CUCUGGG),IPAdiabetes,IPA
miR-335-5p_(and_other_miRNAs_w/seed_CAAGAGC),IPAdiabetes,IPA
miR-343_(and_other_miRNAs_w/seed_CUCCCUC),IPAdiabetes,IPA
miR-34a-5p_(and_other_miRNAs_w/seed_GGCAGUG),IPAdiabetes,IPA
miR-363-5p_(and_other_miRNAs_w/seed_GGGUGGA),IPAdiabetes,IPA
miR-370-3p_(and_other_miRNAs_w/seed_CCUGCUG),IPAdiabetes,IPA
miR-375-3p_(miRNAs_w/seed_UUGUUCG),IPAdiabetes,IPA
miR-378a-3p_(and_other_miRNAs_w/seed_CUGGACU),IPAdiabetes,IPA
miR-379-5p_(and_other_miRNAs_w/seed_GGUAGAC),IPAdiabetes,IPA
miR-380-5p_(miRNAs_w/seed_UGGUUGA),IPAdiabetes,IPA
miR-381-3p_(and_other_miRNAs_w/seed_AUACAAG),IPAdiabetes,IPA
miR-425-5p_(and_other_miRNAs_w/seed_AUGACAC),IPAdiabetes,IPA
miR-434-3p_(miRNAs_w/seed_UUGAACC),IPAdiabetes,IPA
miR-450a-5p_(and_other_miRNAs_w/seed_UUUGCGA),IPAdiabetes,IPA
miR-451a_(and_other_miRNAs_w/seed_AACCGUU),IPAdiabetes,IPA
miR-467a-3p_(and_other_miRNAs_w/seed_AUAUACA),IPAdiabetes,IPA
miR-494-3p_(miRNAs_w/seed_GAAACAU),IPAdiabetes,IPA
miR-503-5p_(miRNAs_w/seed_AGCAGCG),IPAdiabetes,IPA
miR-511-5p_(miRNAs_w/seed_UGUCUUU),IPAdiabetes,IPA
miR-513a-3p_(and_other_miRNAs_w/seed_AAAUUUC),IPAdiabetes,IPA
miR-519a-3p_(and_other_miRNAs_w/seed_AAGUGCA),IPAdiabetes,IPA
miR-637_(and_other_miRNAs_w/seed_CUGGGGG),IPAdiabetes,IPA
miR-657_(miRNAs_w/seed_GCAGGUU),IPAdiabetes,IPA
miR-661_(miRNAs_w/seed_GCCUGGG),IPAdiabetes,IPA
miR-664-3p_(and_other_miRNAs_w/seed_AUUCAUU),IPAdiabetes,IPA
miR-7a-5p_(and_other_miRNAs_w/seed_GGAAGAC),IPAdiabetes,IPA
miR-9-5p_(and_other_miRNAs_w/seed_CUUUGGU),IPAdiabetes,IPA
miR-92a-3p_(and_other_miRNAs_w/seed_AUUGCAC),IPAdiabetes,IPA
mirtazapine,IPAdiabetes,IPA
mitiglinide,IPAdiabetes,IPA
Mitochondrial_complex_1,IPAdiabetes,IPA
MLXIPL,IPAdiabetes,IPA
MME,IPAdiabetes,IPA
MMP1,IPAdiabetes,IPA
MMP2,IPAdiabetes,IPA
MMP9,IPAdiabetes,IPA
MMP14,IPAdiabetes,IPA
Mmp,IPAdiabetes,IPA
MMS22L,IPAdiabetes,IPA
MMUT,IPAdiabetes,IPA
MOBP,IPAdiabetes,IPA
modafinil,IPAdiabetes,IPA
MOG,IPAdiabetes,IPA
MOGS,IPAdiabetes,IPA
mosapride,IPAdiabetes,IPA
MoviPrep,IPAdiabetes,IPA
moxonidine,IPAdiabetes,IPA
MPC1,IPAdiabetes,IPA
MPEG1,IPAdiabetes,IPA
MPG,IPAdiabetes,IPA
MPO,IPAdiabetes,IPA
MPP4,IPAdiabetes,IPA
MPPED2,IPAdiabetes,IPA
MPV17L,IPAdiabetes,IPA
MPZL2,IPAdiabetes,IPA
MR1,IPAdiabetes,IPA
MRC1,IPAdiabetes,IPA
MRPL53,IPAdiabetes,IPA
MS4A1,IPAdiabetes,IPA
MS4A4A,IPAdiabetes,IPA
Ms4a4c_(includes_others),IPAdiabetes,IPA
MS4A4E,IPAdiabetes,IPA
MS4A6A,IPAdiabetes,IPA
MS4A6E,IPAdiabetes,IPA
MSDC-0602,IPAdiabetes,IPA
MSH5,IPAdiabetes,IPA
MSR1,IPAdiabetes,IPA
MSTN,IPAdiabetes,IPA
Mt1,IPAdiabetes,IPA
MT3,IPAdiabetes,IPA
MT-CO1,IPAdiabetes,IPA
MT-CO2,IPAdiabetes,IPA
MT-CO3,IPAdiabetes,IPA
MT-ND1,IPAdiabetes,IPA
MT-TE,IPAdiabetes,IPA
MT-TI,IPAdiabetes,IPA
MT-TK,IPAdiabetes,IPA
MT-TL1,IPAdiabetes,IPA
MT-TN,IPAdiabetes,IPA
MT-TS2,IPAdiabetes,IPA
MT1G,IPAdiabetes,IPA
MT2A,IPAdiabetes,IPA
MTFR2,IPAdiabetes,IPA
MTHFD1L,IPAdiabetes,IPA
MTHFR,IPAdiabetes,IPA
MTNR1A,IPAdiabetes,IPA
MTNR1B,IPAdiabetes,IPA
MTOR,IPAdiabetes,IPA
MTR,IPAdiabetes,IPA
MTRR,IPAdiabetes,IPA
MUC21,IPAdiabetes,IPA
MUCL3,IPAdiabetes,IPA
Mup1_(includes_others),IPAdiabetes,IPA
muraglitazar,IPAdiabetes,IPA
Muscarinic_cholinergic_receptor,IPAdiabetes,IPA
MVK,IPAdiabetes,IPA
MYBPC2,IPAdiabetes,IPA
MYC,IPAdiabetes,IPA
mycophenolate_mofetil,IPAdiabetes,IPA
MYH9,IPAdiabetes,IPA
MYH11,IPAdiabetes,IPA
Mymx,IPAdiabetes,IPA
myo-inositol,IPAdiabetes,IPA
MYO1B,IPAdiabetes,IPA
MYO1F,IPAdiabetes,IPA
MYO3B,IPAdiabetes,IPA
MYOCD,IPAdiabetes,IPA
MZB1,IPAdiabetes,IPA
MZT2B,IPAdiabetes,IPA
N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine,IPAdiabetes,IPA
N(6)-carboxymethyl-L-lysine,IPAdiabetes,IPA
N__N-dimethylarginine,IPAdiabetes,IPA
n-3_fatty_acids,IPAdiabetes,IPA
N-acetyl-L-aspartic_acid,IPAdiabetes,IPA
N-acetyl-L-cysteine,IPAdiabetes,IPA
NAA25,IPAdiabetes,IPA
NAE1,IPAdiabetes,IPA
NAGLU,IPAdiabetes,IPA
NAIP,IPAdiabetes,IPA
Naip1_(includes_others),IPAdiabetes,IPA
naloxone,IPAdiabetes,IPA
naltrexone,IPAdiabetes,IPA
naproxen,IPAdiabetes,IPA
NAT8,IPAdiabetes,IPA
NAT8B,IPAdiabetes,IPA
Nat8f5,IPAdiabetes,IPA
nateglinide,IPAdiabetes,IPA
NAV1,IPAdiabetes,IPA
NAV3,IPAdiabetes,IPA
NBAS,IPAdiabetes,IPA
NCF1,IPAdiabetes,IPA
NCF2,IPAdiabetes,IPA
NCOA4,IPAdiabetes,IPA
NCSTN,IPAdiabetes,IPA
NDRG2,IPAdiabetes,IPA
NDUFB8,IPAdiabetes,IPA
NEBL,IPAdiabetes,IPA
NEDD4L,IPAdiabetes,IPA
NEFH,IPAdiabetes,IPA
nefiracetam,IPAdiabetes,IPA
NEFL,IPAdiabetes,IPA
NELFCD,IPAdiabetes,IPA
NELFE,IPAdiabetes,IPA
neomycin,IPAdiabetes,IPA
nepafenac,IPAdiabetes,IPA
neramexane,IPAdiabetes,IPA
Nes,IPAdiabetes,IPA
NEUROD1,IPAdiabetes,IPA
Neurofilament,IPAdiabetes,IPA
NEUROG3,IPAdiabetes,IPA
Neurotrophin,IPAdiabetes,IPA
nevirapine,IPAdiabetes,IPA
NFATC1,IPAdiabetes,IPA
NFATC2,IPAdiabetes,IPA
NFATC3,IPAdiabetes,IPA
NFATC4,IPAdiabetes,IPA
NFE2L2,IPAdiabetes,IPA
NFKB1,IPAdiabetes,IPA
NFkB_(complex),IPAdiabetes,IPA
NFKBIA,IPAdiabetes,IPA
NFS1,IPAdiabetes,IPA
NGF,IPAdiabetes,IPA
NGFR,IPAdiabetes,IPA
niclosamide,IPAdiabetes,IPA
nicorandil,IPAdiabetes,IPA
nicotine,IPAdiabetes,IPA
nicotinic_acetylcholine_receptor,IPAdiabetes,IPA
nicotinic_acid,IPAdiabetes,IPA
nifedipine,IPAdiabetes,IPA
nilvadipine,IPAdiabetes,IPA
NISCH,IPAdiabetes,IPA
nisoldipine,IPAdiabetes,IPA
nitazoxanide,IPAdiabetes,IPA
nitric_oxide,IPAdiabetes,IPA
nivolumab,IPAdiabetes,IPA
NKAPL,IPAdiabetes,IPA
Nkx2-2os,IPAdiabetes,IPA
NKX6-1,IPAdiabetes,IPA
NLRC4,IPAdiabetes,IPA
NLRP3,IPAdiabetes,IPA
NMDA_Receptor,IPAdiabetes,IPA
NMNAT3,IPAdiabetes,IPA
NMT2,IPAdiabetes,IPA
NNMT,IPAdiabetes,IPA
NNT,IPAdiabetes,IPA
NOD2,IPAdiabetes,IPA
NOM1,IPAdiabetes,IPA
norepinephrine,IPAdiabetes,IPA
NOS1,IPAdiabetes,IPA
NOS2,IPAdiabetes,IPA
NOS3,IPAdiabetes,IPA
Nos,IPAdiabetes,IPA
NOTCH1,IPAdiabetes,IPA
NOTCH2,IPAdiabetes,IPA
NOTCH4,IPAdiabetes,IPA
NOX4,IPAdiabetes,IPA
